Email Address,How are you feeling?,Please share a bit more,Is there anything we could do to help,Recommendation Liklihood
TestEmailAddress@TheRandomEmailAddy.Com232,8,"Average at best, nothing major happening.",No thanks.,4
TestEmailAddress@TheRandomEmailAddy.Com242,8,"Actually doing okay thanks, Lockdown isnt too bad.",All good.,4
TestEmailAddress@TheRandomEmailAddy.Com252,8,"Just doing average, nothing amazing.",Maybe some learning suggestions.,4
TestEmailAddress@TheRandomEmailAddy.Com262,8,Doing okay thanks. Getting through it all.,Any advice on doing something exciting?,4
TestEmailAddress@TheRandomEmailAddy.Com272,8,"Pretty good, not amazing.",Some suggestions on things to learn,4
TestEmailAddress@TheRandomEmailAddy.Com282,8,Actually taking this time during lockdown to center myself.,keep giving us free time.,4
TestEmailAddress@TheRandomEmailAddy.Com292,8,Enjoying the time with the kids.,Nope,8
TestEmailAddress@TheRandomEmailAddy.Com03,9,"This is awesome, Doing what we need to to make the most of this.",Lets make sure we wngage as many people as possible.,9
TestEmailAddress@TheRandomEmailAddy.Com13,9,Im enjoying working from home and the time with the family.,Lets make sure that families are put first.,9
TestEmailAddress@TheRandomEmailAddy.Com23,9,This is AWESOME! Lets keep working from home.,Potentially provide equipment and sponsorship for home work.,9
TestEmailAddress@TheRandomEmailAddy.Com33,9,I am doing my best to make the most of the time we have.,Just keep engaging and suggesting.,9
TestEmailAddress@TheRandomEmailAddy.Com43,9,I am learning LOADS and am enjoying the time I have to explore.,Share learning materials,9
TestEmailAddress@TheRandomEmailAddy.Com53,9,This has been a great time to get some focus and alignment.,Lets work together to define more role alignment and structure.,9
TestEmailAddress@TheRandomEmailAddy.Com63,9,I feel as if we have found the new way of working.,We want to keep working from home.,9
TestEmailAddress@TheRandomEmailAddy.Com73,9,We need to make sure that we use this time constructively.,Lets keep as many people engaged as we can.,9
TestEmailAddress@TheRandomEmailAddy.Com83,9,Ive taken this time to get educated.,Lets kjust learn more!,9
TestEmailAddress@TheRandomEmailAddy.Com93,9,We have made the best of the time we have.,This time has been excellent.,9
TestEmailAddress@TheRandomEmailAddy.Com103,9,We have LOVED this time. Its been great for us to grow.,We should be workig to make sure that we work closer together.,9
TestEmailAddress@TheRandomEmailAddy.Com113,9,"Although the time is sad, We have been lucky to have this time with our families.",Keep allowing us to share this family time.,9
TestEmailAddress@TheRandomEmailAddy.Com123,9,"This is awesome, Doing what we need to to make the most of this.",Lets make sure we wngage as many people as possible.,9
TestEmailAddress@TheRandomEmailAddy.Com133,9,Im enjoying working from home and the time with the family.,Lets make sure that families are put first.,9
TestEmailAddress@TheRandomEmailAddy.Com143,9,This is AWESOME! Lets keep working from home.,Potentially provide equipment and sponsorship for home work.,9
TestEmailAddress@TheRandomEmailAddy.Com153,9,I am doing my best to make the most of the time we have.,Just keep engaging and suggesting.,9
TestEmailAddress@TheRandomEmailAddy.Com163,9,I am learning LOADS and am enjoying the time I have to explore.,Share learning materials,9
TestEmailAddress@TheRandomEmailAddy.Com173,9,This has been a great time to get some focus and alignment.,Lets work together to define more role alignment and structure.,9
TestEmailAddress@TheRandomEmailAddy.Com183,9,I feel as if we have found the new way of working.,We want to keep working from home.,9
TestEmailAddress@TheRandomEmailAddy.Com193,9,We need to make sure that we use this time constructively.,Lets keep as many people engaged as we can.,9
TestEmailAddress@TheRandomEmailAddy.Com203,9,Ive taken this time to get educated.,Lets kjust learn more!,9
TestEmailAddress@TheRandomEmailAddy.Com223,9,We have made the best of the time we have.,This time has been excellent.,9
TestEmailAddress@TheRandomEmailAddy.Com233,9,We have LOVED this time. Its been great for us to grow.,We should be workig to make sure that we work closer together.,9
TestEmailAddress@TheRandomEmailAddy.Com243,9,"Although the time is sad, We have been lucky to have this time with our families.",Keep allowing us to share this family time.,9
TestEmailAddress@TheRandomEmailAddy.Com253,9,"This is awesome, Doing what we need to to make the most of this.",Lets make sure we wngage as many people as possible.,9
TestEmailAddress@TheRandomEmailAddy.Com263,9,Im enjoying working from home and the time with the family.,Lets make sure that families are put first.,9
TestEmailAddress@TheRandomEmailAddy.Com273,9,This is AWESOME! Lets keep working from home.,Potentially provide equipment and sponsorship for home work.,9
TestEmailAddress@TheRandomEmailAddy.Com283,9,I am doing my best to make the most of the time we have.,Just keep engaging and suggesting.,9
TestEmailAddress@TheRandomEmailAddy.Com293,9,I am learning LOADS and am enjoying the time I have to explore.,Share learning materials,9
TestEmailAddress@TheRandomEmailAddy.Com04,10,This has been a great time to get some focus and alignment.,Lets work together to define more role alignment and structure.,8
TestEmailAddress@TheRandomEmailAddy.Com24,10,I feel as if we have found the new way of working.,We want to keep working from home.,10
TestEmailAddress@TheRandomEmailAddy.Com34,10,We need to make sure that we use this time constructively.,Lets keep as many people engaged as we can.,10
TestEmailAddress@TheRandomEmailAddy.Com54,10,Ive taken this time to get educated.,Lets kjust learn more!,10
TestEmailAddress@TheRandomEmailAddy.Com64,10,We have made the best of the time we have.,This time has been excellent.,10
TestEmailAddress@TheRandomEmailAddy.Com84,10,We have LOVED this time. Its been great for us to grow.,We should be workig to make sure that we work closer together.,10
TestEmailAddress@TheRandomEmailAddy.Com104,10,"Although the time is sad, We have been lucky to have this time with our families.",Keep allowing us to share this family time.,10
TestEmailAddress@TheRandomEmailAddy.Com114,10,"This is awesome, Doing what we need to to make the most of this.",Lets make sure we wngage as many people as possible.,10
TestEmailAddress@TheRandomEmailAddy.Com144,10,Im enjoying working from home and the time with the family.,Lets make sure that families are put first.,8
TestEmailAddress@TheRandomEmailAddy.Com154,10,This is AWESOME! Lets keep working from home.,Potentially provide equipment and sponsorship for home work.,8
TestEmailAddress@TheRandomEmailAddy.Com164,10,I am doing my best to make the most of the time we have.,Just keep engaging and suggesting.,10
TestEmailAddress@TheRandomEmailAddy.Com174,10,I am learning LOADS and am enjoying the time I have to explore.,Share learning materials,10
TestEmailAddress@TheRandomEmailAddy.Com194,10,This has been a great time to get some focus and alignment.,Lets work together to define more role alignment and structure.,10
TestEmailAddress@TheRandomEmailAddy.Com204,10,I feel as if we have found the new way of working.,We want to keep working from home.,10
TestEmailAddress@TheRandomEmailAddy.Com214,10,We need to make sure that we use this time constructively.,Lets keep as many people engaged as we can.,10
TestEmailAddress@TheRandomEmailAddy.Com224,10,Ive taken this time to get educated.,Lets kjust learn more!,10
TestEmailAddress@TheRandomEmailAddy.Com234,10,We have made the best of the time we have.,This time has been excellent.,10
TestEmailAddress@TheRandomEmailAddy.Com244,10,We have LOVED this time. Its been great for us to grow.,We should be workig to make sure that we work closer together.,10
TestEmailAddress@TheRandomEmailAddy.Com254,10,"Although the time is sad, We have been lucky to have this time with our families.",Keep allowing us to share this family time.,10
TestEmailAddress@TheRandomEmailAddy.Com264,10,"This is awesome, Doing what we need to to make the most of this.",Lets make sure we wngage as many people as possible.,10
TestEmailAddress@TheRandomEmailAddy.Com284,10,Im enjoying working from home and the time with the family.,Lets make sure that families are put first.,10
TestEmailAddress@TheRandomEmailAddy.Com294,10,This is AWESOME! Lets keep working from home.,Potentially provide equipment and sponsorship for home work.,8
